Carrier,DepTime,ArrTime,Price,Duration,Day,DepAirport,ArrAirport,DayAfter
"Wizz Air Malta, Iberia",6:05,13:30,$146,8h 25m,2024-09-19,Rome,London,False
SWISS,9:40,13:00,$259,4h 20m,2024-09-19,Rome,London,False
"Wizz Air Malta, Iberia",13:45,22:10,$133,9h 25m,2024-09-19,Rome,London,False
Lufthansa,15:50,20:45,$235,5h 55m,2024-09-19,Rome,London,False
Air Malta,9:50,19:30,$170,10h 40m,2024-09-19,Rome,London,False
"Aer Lingus, British Airways",11:10,16:45,$199,6h 35m,2024-09-19,Rome,London,False
Lufthansa,10:05,14:40,$241,5h 35m,2024-09-19,Rome,London,False
"easyJet, British Airways",8:45,18:25,$116,10h 40m,2024-09-19,Rome,London,False
Lufthansa,13:20,17:40,$249,5h 20m,2024-09-19,Rome,London,False
"easyJet, Scandinavian Airlines",12:05,19:30,$161,8h 25m,2024-09-19,Rome,London,False
Lufthansa,7:00,12:40,$232,6h 40m,2024-09-19,Rome,London,False
"ITA Airways, British Airways",17:25,21:40,$238,5h 15m,2024-09-19,Rome,London,False
"ITA Airways, British Airways",13:00,20:20,$121,8h 20m,2024-10-19,Rome,London,False
Iberia,11:55,18:15,$160,7h 20m,2024-10-19,Rome,London,False
Eurowings,9:10,14:10,$211,6h 00m,2024-10-19,Rome,London,False
"Wizz Air Malta, Iberia",12:20,18:15,$146,6h 55m,2024-10-19,Rome,London,False
Brussels Airlines,17:45,20:55,$236,4h 10m,2024-10-19,Rome,London,False
"ITA Airways, British Airways",13:00,20:30,$132,8h 30m,2024-10-19,Rome,London,False
Iberia,11:55,18:45,$160,7h 50m,2024-10-19,Rome,London,False
Air Malta,9:50,19:30,$138,10h 40m,2024-10-19,Rome,London,False
Iberia,11:55,19:20,$149,8h 25m,2024-10-19,Rome,London,False
"ITA Airways, British Airways",10:00,15:00,$189,6h 00m,2024-10-19,Rome,London,False
Iberia,12:45,19:45,$159,8h 00m,2024-10-19,Rome,London,False
"Aer Lingus, British Airways",15:20,21:15,$172,6h 55m,2024-10-19,Rome,London,False
"Wizz Air Malta, British Airways",16:10,22:00,$167,6h 50m,2024-10-19,Rome,London,False
"Wizz Air Malta, Air Serbia",8:35,19:05,$97,11h 30m,2024-10-19,Rome,London,False
"Wizz Air Malta, Vueling",6:10,14:10,$152,9h 00m,2024-10-19,Rome,London,False
"easyJet, British Airways",8:20,12:50,$195,5h 30m,2024-10-19,Rome,London,False
Brussels Airlines,17:45,21:35,$236,4h 50m,2024-10-19,Rome,London,False
Iberia,14:45,20:25,$198,6h 40m,2024-10-19,Rome,London,False
KLM,12:40,16:15,$249,4h 35m,2024-10-19,Rome,London,False
Vueling,6:35,14:10,$174,8h 35m,2024-10-19,Rome,London,False
Multiple airlines,9:55,18:35,$121,9h 40m,2024-10-19,Rome,London,False
"Iberia, British Airways",12:45,18:10,$214,6h 25m,2024-10-19,Rome,London,False
"Wizz Air Malta, Iberia",6:05,14:55,$122,9h 50m,2024-10-19,Rome,London,False
Iberia,12:45,21:10,$159,9h 25m,2024-10-19,Rome,London,False
"ITA Airways, SWISS",16:20,21:45,$207,6h 25m,2024-10-19,Rome,London,False
British Airways,8:05,9:50,$308,2h 45m,2024-10-19,Rome,London,False
Austrian Airlines,8:55,14:20,$227,6h 25m,2024-10-19,Rome,London,False
"Vueling, Iberia",7:00,14:55,$145,8h 55m,2024-10-19,Rome,London,False
"ITA Airways, Lufthansa",16:15,20:45,$243,5h 30m,2024-10-19,Rome,London,False
"Vueling, Iberia",9:50,18:45,$128,9h 55m,2024-10-19,Rome,London,False
