Carrier,DepTime,ArrTime,Price,Duration,Day,DepAirport,ArrAirport,DayAfter
Lufthansa,5:55,12:40,$258,7h 45m,2024-08-19,Madrid,London,False
Aer Lingus,16:45,21:50,$413,6h 05m,2024-08-19,Madrid,London,False
Aer Lingus,10:40,19:25,$216,9h 45m,2024-08-19,Madrid,London,False
Lufthansa,8:25,16:40,$241,9h 15m,2024-08-19,Madrid,London,False
Iberia,10:40,12:00,$49,2h 20m,2024-09-19,Madrid,London,False
British Airways,8:00,9:30,$56,2h 30m,2024-09-19,Madrid,London,False
Iberia,8:00,9:30,$49,2h 30m,2024-09-19,Madrid,London,False
British Airways,9:10,10:35,$59,2h 25m,2024-09-19,Madrid,London,False
Iberia,9:10,10:35,$59,2h 25m,2024-09-19,Madrid,London,False
Iberia,20:50,22:10,$59,2h 20m,2024-09-19,Madrid,London,False
British Airways,20:50,22:10,$59,2h 20m,2024-09-19,Madrid,London,False
Iberia,15:45,17:15,$71,2h 30m,2024-09-19,Madrid,London,False
British Airways,10:40,12:00,$59,2h 20m,2024-09-19,Madrid,London,False
Iberia,7:00,8:25,$71,2h 25m,2024-09-19,Madrid,London,False
British Airways,15:45,17:15,$78,2h 30m,2024-09-19,Madrid,London,False
Iberia,17:25,18:45,$71,2h 20m,2024-09-19,Madrid,London,False
British Airways,7:00,8:25,$78,2h 25m,2024-09-19,Madrid,London,False
Iberia,13:30,14:55,$82,2h 25m,2024-09-19,Madrid,London,False
Iberia,17:55,19:20,$82,2h 25m,2024-09-19,Madrid,London,False
British Airways,15:45,17:15,$78,2h 30m,2024-09-19,Madrid,London,False
British Airways,7:00,8:25,$78,2h 25m,2024-09-19,Madrid,London,False
British Airways,12:10,13:30,$78,2h 20m,2024-09-19,Madrid,London,False
Iberia,13:30,14:55,$82,2h 25m,2024-09-19,Madrid,London,False
Iberia,17:55,19:20,$82,2h 25m,2024-09-19,Madrid,London,False
Vueling,15:45,17:15,$92,2h 30m,2024-09-19,Madrid,London,False
British Airways,17:55,19:20,$89,2h 25m,2024-09-19,Madrid,London,False
British Airways,13:30,14:55,$89,2h 25m,2024-09-19,Madrid,London,False
Vueling,17:55,19:20,$92,2h 25m,2024-09-19,Madrid,London,False
Vueling,13:30,14:55,$92,2h 25m,2024-09-19,Madrid,London,False
Vueling,7:00,8:25,$92,2h 25m,2024-09-19,Madrid,London,False
Vueling,17:25,18:45,$92,2h 20m,2024-09-19,Madrid,London,False
Iberia,16:50,18:15,$93,2h 25m,2024-09-19,Madrid,London,False
British Airways,16:50,18:15,$94,2h 25m,2024-09-19,Madrid,London,False
Iberia,14:55,16:20,$94,2h 25m,2024-09-19,Madrid,London,False
British Airways,17:25,18:45,$94,2h 20m,2024-09-19,Madrid,London,False
British Airways,14:55,16:20,$113,2h 25m,2024-09-19,Madrid,London,False
Vueling,16:50,18:15,$128,2h 25m,2024-09-19,Madrid,London,False
Vueling,14:55,16:20,$128,2h 25m,2024-09-19,Madrid,London,False
TAP AIR PORTUGAL,11:05,15:35,$74,5h 30m,2024-09-19,Madrid,London,False
TAP AIR PORTUGAL,17:55,22:55,$74,6h 00m,2024-09-19,Madrid,London,False
TAP AIR PORTUGAL,16:25,22:00,$74,6h 35m,2024-09-19,Madrid,London,False
TAP AIR PORTUGAL,16:25,22:55,$74,7h 30m,2024-09-19,Madrid,London,False
TAP AIR PORTUGAL,11:05,17:45,$74,7h 40m,2024-09-19,Madrid,London,False
Iberia,19:35,21:05,$176,2h 30m,2024-09-19,Madrid,London,False
Vueling,13:45,19:45,$109,7h 00m,2024-09-19,Madrid,London,False
KLM,6:00,10:45,$114,5h 45m,2024-09-19,Madrid,London,False
KLM,13:05,17:35,$129,5h 30m,2024-09-19,Madrid,London,False
"Iberia, Vueling",9:55,13:25,$126,4h 30m,2024-09-19,Madrid,London,False
British Airways,19:35,21:05,$195,2h 30m,2024-09-19,Madrid,London,False
KLM,10:20,16:15,$114,6h 55m,2024-09-19,Madrid,London,False
"Transavia France, Vueling",6:00,13:25,$96,8h 25m,2024-09-19,Madrid,London,False
Multiple airlines,6:35,13:25,$111,7h 50m,2024-09-19,Madrid,London,False
TAP AIR PORTUGAL,11:05,18:50,$91,8h 45m,2024-09-19,Madrid,London,False
"Iberia, British Airways",7:20,12:35,$123,6h 15m,2024-09-19,Madrid,London,False
"Iberia, Vueling",14:55,19:45,$124,5h 50m,2024-09-19,Madrid,London,False
Brussels Airlines,12:40,17:05,$156,5h 25m,2024-09-19,Madrid,London,False
KLM,13:05,19:25,$129,7h 20m,2024-09-19,Madrid,London,False
Brussels Airlines,17:35,20:55,$194,4h 20m,2024-09-19,Madrid,London,False
Lufthansa,8:25,12:40,$176,5h 15m,2024-09-19,Madrid,London,False
"Air Europa, British Airways",15:15,21:20,$133,7h 05m,2024-09-19,Madrid,London,False
"Iberia, Vueling",7:25,13:25,$126,7h 00m,2024-09-19,Madrid,London,False
KLM,10:20,17:35,$129,8h 15m,2024-09-19,Madrid,London,False
"Iberia, British Airways",15:45,22:45,$122,8h 00m,2024-09-19,Madrid,London,False
Brussels Airlines,17:35,21:35,$194,5h 00m,2024-09-19,Madrid,London,False
KLM,17:10,20:55,$199,4h 45m,2024-09-19,Madrid,London,False
"easyJet, British Airways",13:25,20:25,$112,8h 00m,2024-09-19,Madrid,London,False
Brussels Airlines,6:20,10:15,$194,4h 55m,2024-09-19,Madrid,London,False
TAP AIR PORTUGAL,6:35,12:45,$157,7h 10m,2024-09-19,Madrid,London,False
"Iberia, Vueling",12:30,19:45,$114,8h 15m,2024-09-19,Madrid,London,False
"Air Europa, Vueling",8:05,13:25,$179,6h 20m,2024-09-19,Madrid,London,False
"Vueling, British Airways",15:45,22:45,$122,8h 00m,2024-09-19,Madrid,London,False
"Iberia, British Airways",16:35,21:25,$196,5h 50m,2024-09-19,Madrid,London,False
Lufthansa,5:55,10:40,$170,5h 45m,2024-09-19,Madrid,London,False
Lufthansa,8:25,14:40,$176,7h 15m,2024-09-19,Madrid,London,False
SWISS,10:10,16:20,$182,7h 10m,2024-09-19,Madrid,London,False
Lufthansa,13:00,17:40,$210,5h 40m,2024-09-19,Madrid,London,False
TAP AIR PORTUGAL,6:35,15:35,$131,10h 00m,2024-09-19,Madrid,London,False
